,,,,,,,,,Prospective Consumer as on 01.09.14,,,,,,,,,,
GOMD,TSC,Sub-Station,Consumer,Initial CD(MVA),Final CD (MVA),Application Date,Feasibility request Received,Feasibility request Sent,Feasibility Report Received,Feasibility Report sent,Detail request Received,Detail request Sent,Detail  Report Received,Detail  Report sent,Latest Status,From,Sent To,Date,Remark
GOMD-IV,TSC-III,GIRIDIH,Ruby Oxygen Pvt. Ltd.,0.5,0.5,09.05.2007,,,,,27/04/12,27.04.12 14.09.12,29/12/13,09/01/13,Detail Report,CE(Coml.),Consumer,22/12/2014,Send to Consumer with estimated cost of survey charge & service charge
GOMD-IV,TSC-III,GIRIDIH,Nanak Hi-Tech (P) Ltd.,1,1,05.05.2009,,,,,12/05/12,14/05/12,05/12/12,12/12/12,Detail Report,CE(PSR),CE(Coml.),15/01/13,waiting for Constn. Clearance
GOMD-IV,TSC-III,GIRIDIH,Govind Iron & Steels Pvt. Ltd.,3.5,9,09.06.2009,05.11.12 11.04.13,05.11.12 11.04.13,12/09/13,12/09/13,,,,,Feasibility Report ,CE(TSC),CE(SPE),12/09/13,No longer intersted Now (05.04.2014)
GOMD-IV,TSC-III,GIRIDIH,Kasturi Multisolutins Pvt. Ltd.,0.5,1,28/10/13,01/02/14,01/02/14,,10/06/14,09/08/14,11/08/14,,,Detail Requested,CE(TSC),DCE(W/Z),11/08/14,
GOMD-IV,TSC-III,GIRIDIH,Saluja Steel & Power (P) Ltd. Unit#1,,,21/03/14,05/05/14,06/05/14,,27/06/14,,,,,Feasibility Report,CE(TSC),CE(SPE),27/06/14,Shifting of tapping points
GOMD-IV,TSC-III,GIRIDIH ,Jyoti Hitech Industries Pvt. Ltd.,0.75,0.75,01/03/13,,,,,,,,,Feasibility Report,CE(TSC),CE(SPE),10.02.2015,Not Interest
GOMD-IV,TSC-III,GIRIDIH ,Jagran Steel & Power Pvt. Ltd.,1,2,20/02/12,20.06.12 11.04.13,20.06.12 11.04.13 20.05.13,,,,,,,Feasibility Report,CE(TSC),CE(SPE),10.02.15,Not Interest
GOMD-IV,TSC-III,GIRIDIH ,Sri Bir Ispat Pvt. Ltd.,5,5,07/01/13,19/04/13,20/04/13,,,,,,,Feasibility Report,CE(TSC),CE(SPE),10.02.2015,Not Interest
GOMD-IV,TSC-III,GIRIDIH (220KV),Adi Steel & Power Pvt. Ltd. (132KV),36,36,18.01.2010,30/06/12,30.06.12 20.05.13,06/11/13,12/11/13,,,,,Feasibility Report,CE(Coml),Consumer,04/12/13,
GOMD-IV,TSC-III,GIRIDIH (220KV),Shivam Iron & Steel co.Ltd. (132KV),15,15,,,,,23/02/12,,,,,Feasibility Report,CE(TSC),CE(PSR),23/02/12,no further advice received
GOMD-IV,TSC-III,GIRIDIH (220KV),Atibir Industries Co. Ltd. (220KV),8,8,,,,,,,,,,Feasibility Report,CE(PSR),CE(Coml.),07/03/12,no further advice received
GOMD-IV,TSC-III,GIRIDIH (220KV),Adi Ispat Pvt. Ltd.(132KV),,,33KV to 132KV,06.06.12 05.10.12,07.06.12 05.10.12 20.05.13,,,,,,,Feasibility Requested,CE(TSC),SE(W/Z),07/06/12,REMINDER SENT 
GOMD-IV,TSC-III,Patherdih,Mannet Exim Private Limited,1.2,1.2,15.03.2007,,16/04/07,,,,,,,Silent,CE(TSC),SE(W/Z),16/04/07,Silent
GOMD-IV,TSC-III,Patherdih,Shiv Shambhu Roller Flour Mills (P) Ltd.,0.5,0.5,11.01.2008,,25/01/08,,,,,,,Silent,CE(TSC),SE(W/Z),25/01/08,Revised guidelines has been requested by Div
GOMD-IV,TSC-III,Patherdih,"BCCL, Alagdiha, Trisa",10,10,16/10/12,26/10/12,02/11/12,,,,,,,Feasibility Requested ,CE(TSC),DCE(W/Z),02/11/12,Shifting Metering point from Golukdih to alagdih
