,,,,,,,,,Prospective Consumer as on 01.09.14,,,,,,,,,,
GOMD,TSC,Sub-Station,Consumer,Initial CD(MVA),Final CD (MVA),Application Date,Feasibility request Received,Feasibility request Sent,Feasibility Report Received,Feasibility Report sent,Detail request Received,Detail request Sent,Detail  Report Received,Detail  Report sent,Latest Status,From,Sent To,Date,Remark
GOMD-VI,TSC-I,MTPS,Nilkant Ferro Ltd. Unit-II,6,22,13/04/12,27/04/12,27/04/12,01/06/12,02/06/12,27/12/13,07/01/13,,26.05.14,Detail Report,CE(TSC),CE(SPE),26.05.14,
GOMD-VI,TSC-I,MTPS,Icore Super Cement Pvt. Ltd.,12,12,17/05/12,27/08/12,27/08/12,11/10/12,11/10/12,Proposed from Amdanga,,,,Feasibility Report,CE(TSC),CE(PSR),10/10/12,Proposed from Amdanga
GOMD-VI,TSC-I,MTPS,Shree PSP Ferro Alloys Pvt. Ltd.,5,20,29/03/12,18/08/12,18/08/12,11/10/12,11/10/12,Shifted to Amdanga,,,,Feasibility Report,CE(TSC),CE(PSR),11/10/12,
GOMD-VI,TSC-I,MTPS,JK Lakshmi Cement Ltd.,4,10,,,,01.12.14,02.12.14,,,,,Feasibility Report,CE(TSC),CE(SPE),02.12.14,
GOMD-VI,TSC-I,Parulia,Pioneer Iron & Steel Corporation Pvt. Ltd.,5,20,14.09.2005,,20/07/06,,,,,,,Silent,CE(TSC),SE(E/Z),20/07/06,CE/TSC/NS-PISCPL/891                       Only BW exist Again they intended to draw power
GOMD-VI,TSC-I,Parulia,Neptune Ispat Private Limited ,9,9,08.08.2007,,,,21/03/12,15.11.14,15.11.14,,,Detail Requested,CE(TSC),DCE(E/Z),15.11.14,
GOMD-VI,TSC-I,Parulia,Jagadamba Fiscal Services Ltd.(40 MVA),0.5,65,13.02.2008,,,,,,07/07/08,,,Silent,CE(TSC),SE(E/Z),07/07/08,
GOMD-VI,TSC-I,Parulia,Amit Ferro Alloys & Steel Pvt. Ltd.,9,27,21.01.2009,,,,,,,,,Survey Requested,CE(TSC),DCE(E/Z),27.01.15,
GOMD-VI,TSC-I,Parulia,Jai Shree Steels Pvt. Ltd.,9,9,27.04.2009,,,,,,,,,Silent,CE(Coml.),Consumer,20/04/09,
GOMD-VI,TSC-I,Parulia,U K Cement Pvt. Ltd.,2.5,3.5,08.01.2010,,,,08/03/11,07.06.12 05.11.12,13.06.12 06.11.12,20.11.12 15.01.13,20.11.12 15.01.13,Detail Report,CE(TSC),CE(PSR),15/01/13,
GOMD-VI,TSC-I,Parulia,Sharp Ferro Alloys Ltd. (220KV),0,0,33KV to 220KV,11/06/12,13/06/12,16/07/12,16/07/12,14/11/12,15/11/12,,05.12.14,Detail Report,CE(TSC),CE(SPE),05.12.14,Report sent with Original route profile
,TSC-IV,Patratu,K P Argo & Co.,0.5,0.5,10.12.2014,18.12.2014,19.12.2014,,,,,,,Feasibility Requested,CE(TSC),DCE(W/Z),19/12/2014,Requested to revised the report on 04.02.15
,,,129,1847.05,4142.866,,,,,,,,,,,,,,
