CD AS ON 28.02.2015,,,,,
sl,Name of the,Name of the Consumer,Existing CD ,Total LOAD, No. of  
,,Bharat Re-Rolling Mills Ltd.,0.500,,,by ED (System) himself vide his letter dated 17.07.2014,,,
,,Uday Vijay Steel Pvt. Ltd.,5.000,,,,,,(from 15.7.2014 08-00hrs)
,,Castron Technologies Ltd.,6.000,,New supply from BIADA 10.10.14,,,,
26,Dhanbad,220/33KV:160MVA(2X80) 220/132KV:300MVA(2X150),,69.000,3,,,,
,,Electrosteel Steel Ltd. (220 KV),65.000,,,,,,
,,Lai Prabhuji Iron & Steel(P) Ltd.,3.000,,,,,,
,,Mittal Polypacks Pvt. Ltd.,1.000,,,,,,
E. GOMD - V,,,,515.450,50,,,,
27,"BTPS'A""",132/33: 100MVA (2x50),,54.000,5,,,,
,,"JSEB, Bokaro",14.000,,,,,,
,,"CCL, Kathara",5.000,,,,,,
,,"CCL, Kargali",24.000,,wef.1/2/09,
,,"CCL, Karo Special",5.000,,wef. 01.10.14,
,,"ECR, Gomia-TSS",6.000,,,
28,BARHI,132/33: 60MVA(1x50+1x10),,20.000,2,
,,"JSEB,Padma",5.000,,,
,,"JSEB, Barhi",15.000,,,
,,,,,,
29,HAZARIBAGH,132/33: 100MVA (2x50),,45.000,2,
,,"JSEB, Hazaribagh",30.000,,,
,,"JSEB, Hazaribagh (RGGVY)",15.000,,cop: 14.7.14,
30,KONAR,132/33KV; 1x20MVA,,25.000,3,
,,"JSEB,Banaso",6.000,,,
,,"JSEB,Karma",5.000,,,
,,"ECR, Hazaribagh Road",14.000,,,
,,,,,,
31,GOLA,132/33KV; 51.5MVA(1X31.5+1X20),,31.600,4,-2
,,"CCL, Rajrappa",1.600,,,
,,"JSEB, HUPPU",5.000,,,
,,Yash Alloys Pvt. Ltd.,6.000,,wef. 01.08.09,
,,"South Eastern Railway,Muri ",19.000,,,
32,KODARMA,132/33KV:100MVA(2X50) - 1× 20 MVA & 1× 10 MVA in reserve: 132/25;50MVA(2x25),,85.200,8,
,,"JSEB, Kodarma",30.000,,,
,,"E.C. Rly, Kodarma",24.500,,wef.15/09/08,
,,Super Steel Castings Ltd.,2.700,,,
,,Balaji Electrosteels Ltd.,10.000,,01.10.14,
,,Tulshyan Metals Pvt. Ltd.,0.500,,,
,,Jai Durga Iron Pvt. Ltd,2.000,,,
,,Super Smelters  Limited,15.000,,,
,,Mayur Rice Mills Pvt. Ltd.,0.500,,,
33,RAMGARH,"132/33KV:180MVA(1X80+2X50), 220/33KV: 100MVA(2X50), 220/132KV:300MVA(2X150)",,161.650,22,
,,JSEB,35.000,,,
,,"JSEB, Kuju",12.000,,,
,,"JSEB, West Bokaro",0.300,,
,,"TISCO, West Bokaro",8.000,,
,,"BFCL, Marar",4.500,,
,,"CCL, Giddi",16.000,,
,,"CCL,Kedla",14.500,,
,,Aloke Steel Industries Pvt. Ltd.,1.500,,wef.15/2/09
,,"CCL,Sirka",6.000,,
,,"BRL,Ranchi Road",0.600,,wef.17/9/08
,,"BRL, IFICO Plant",1.500,,
,,E. Rly for Barkakhana TSS,18.500,,
,,Dayal Steel Limited,9.600,,wef. 04.04.09
,,Gautam Ferro Alloys ,5.100,,
,,Sumi Vyapaar Pvt. Ltd.,0.500,,
,,Balashri Metals Pvt.Ltd.,2.550,,wef. 26.05.09
,,Jharkhand Ispat Private Limited,8.000,,disc-21/8 recn-4/9/08
,,Calcutta Carbide Pvt. Ltd.,3.000,,wef. 22.05.09
,,War Steel Pvt. Ltd.,1.500,,
,,"Garrison Engineer, Ramgarh, Cantonment",2.200,,"wef. 01.06.09,1/7/10, 1/8/14"
,,Maihar Alloys Private Limited,2.800,,
,,CCL Kuju,8.000,,1.3.14
34,PATRATU,132/33KV:31.5MVA(1X31.5),,48.000,2
,,UMI Special Steel Ltd.,0.000,,
,,"CCL, Urimari",8.000,,"wef. 22.09.09,1.6.10"
,,Jindal Steel & Power Ltd 132 KV,40.000,,"wef.13/9/08, 23/01/10"
,,,,,
35,North Karanpura,132/33KV:100MVA(2X50),,45.000,2
,,"CCL, North karanpura",27.000,,wef.1/1/09
,,E. C. Rly for RAY TSS,18.000,,wef.15/9/08
,,,,,
F. GOMD - VI,,,,746.945,75
36,DTPS,"132/33KV: 150MVA(3X50), 132/25: 50MVA(2x25)",,42.200,3
,,Durgapur Cement Ltd,11.200,,
